variant,n,total_sec,mean_sec,r_mean,rmse_mean
V1_numpy,1,0.006785018000300624,0.006785018000300624,0.5473740100860596,165.39698791503906
V1_numpy,1,0.00330410300011863,0.00330410300011863,0.8277510404586792,29.73531150817871
V1_numpy,1,0.003162832999805687,0.003162832999805687,0.6469606757164001,44.02621841430664
V1_numpy,1,0.0030283109999800217,0.0030283109999800217,0.6137444972991943,69.95832061767578
V1_numpy,1,0.0034444559996700264,0.0034444559996700264,0.5980336666107178,174.26138305664062
V1_numpy,1,0.003599587000280735,0.003599587000280735,0.8677816390991211,1253.12548828125
V1_numpy,1,0.0037169540000832058,0.0037169540000832058,0.6431395411491394,26.12919044494629
V1_numpy,1,0.0036586279993571225,0.0036586279993571225,0.7504428029060364,46.816246032714844
V1_numpy,1,0.0036405749997356907,0.0036405749997356907,0.5752300024032593,407.44451904296875
V1_numpy,1,0.0037874009994993685,0.0037874009994993685,0.8440948128700256,234.3090362548828
V1_numpy,1,0.004854536000493681,0.004854536000493681,0.769654393196106,194.35289001464844
V1_numpy,1,0.003684272999635141,0.003684272999635141,0.6375861763954163,321.583984375
V2_mproc,1,0.023837725000703358,0.023837725000703358,0.5473740100860596,165.39698791503906
V2_mproc,1,0.025081015000068874,0.025081015000068874,0.8277510404586792,29.73531150817871
V2_mproc,1,0.02771902900076384,0.02771902900076384,0.6469606757164001,44.02621841430664
V2_mproc,1,0.024878393999642867,0.024878393999642867,0.6137444972991943,69.95832061767578
V2_mproc,1,0.025326773999950092,0.025326773999950092,0.5980336666107178,174.26138305664062
V2_mproc,1,0.02470604199970694,0.02470604199970694,0.8677816390991211,1253.12548828125
V2_mproc,1,0.02710784499959118,0.02710784499959118,0.6431395411491394,26.12919044494629
V2_mproc,1,0.026200031000371382,0.026200031000371382,0.7504428029060364,46.816246032714844
V2_mproc,1,0.025780386999940674,0.025780386999940674,0.5752300024032593,407.44451904296875
V2_mproc,1,0.025105196999902546,0.025105196999902546,0.8440948128700256,234.3090362548828
V2_mproc,1,0.030490721000205667,0.030490721000205667,0.769654393196106,194.35289001464844
V2_mproc,1,0.024377832999562088,0.024377832999562088,0.6375861763954163,321.583984375
V3_numba,1,0.0032994309995046933,0.0032994309995046933,0.5473739735980805,165.39699063666356
V3_numba,1,0.003293172000667255,0.003293172000667255,0.8277510824675387,29.735312084851465
V3_numba,1,0.002370119000261184,0.002370119000261184,0.6469606415567644,44.02621885465034
V3_numba,1,0.0032790340001156437,0.0032790340001156437,0.6137444914535632,69.95831956770449
V3_numba,1,0.003530136000335915,0.003530136000335915,0.5980336541946509,174.26137356944076
V3_numba,1,0.003757451000637957,0.003757451000637957,0.8677816554483444,1253.1253879921787
V3_numba,1,0.003623753999818291,0.003623753999818291,0.6431395454708859,26.129189983112113
V3_numba,1,0.0035159620001650183,0.0035159620001650183,0.750442747932729,46.81624667238908
V3_numba,1,0.003491218000817753,0.003491218000817753,0.575229985842818,407.44452880249537
V3_numba,1,0.0036530610004774644,0.0036530610004774644,0.8440948545131197,234.30902981808873
V3_numba,1,0.0031570320006721886,0.0031570320006721886,0.7696543838322466,194.35289850841795
V3_numba,1,0.00382503299988457,0.00382503299988457,0.6375861791595573,321.5840040208897
V4_torch_cpu,1,0.02948953600025561,0.02948953600025561,0.5473740100860596,165.39698791503906
V4_torch_cpu,1,0.005817002999719989,0.005817002999719989,0.8277510404586792,29.73531150817871
V4_torch_cpu,1,0.005321857000126329,0.005321857000126329,0.6469606757164001,44.02621841430664
V4_torch_cpu,1,0.009657804999733344,0.009657804999733344,0.6137444376945496,69.95832061767578
V4_torch_cpu,1,0.006262768000851793,0.006262768000851793,0.598033607006073,174.26136779785156
V4_torch_cpu,1,0.009268877000067732,0.009268877000067732,0.8677816390991211,1253.12548828125
V4_torch_cpu,1,0.014186786000209395,0.014186786000209395,0.6431396007537842,26.12919044494629
V4_torch_cpu,1,0.005957029999990482,0.005957029999990482,0.750442624092102,46.816246032714844
V4_torch_cpu,1,0.006088825000006182,0.006088825000006182,0.5752299427986145,407.44451904296875
V4_torch_cpu,1,0.006470733000242035,0.006470733000242035,0.8440948724746704,234.30902099609375
V4_torch_cpu,1,0.005898782999793184,0.005898782999793184,0.769654393196106,194.3529052734375
V4_torch_cpu,1,0.0063140230004137265,0.0063140230004137265,0.6375861763954163,321.583984375
